8360,1,História,HISTÓRIA,2,33,2
8361,7,Met. da Pesquisa Científica,METODOLOGIA,5,33,2
8362,6,Met. da Pesquisa Científica,METODOLOGIA,1,33,2
8363,2,Met. da Pesquisa Científica,METODOLOGIA,3,83,5
8364,4,Sociologia,SOCIOLOGIA,2,33,2
8365,3,Sociologia,SOCIOLOGIA,2,33,2
8366,1,Sociologia,SOCIOLOGIA,2,33,2
8367,7,Sociologia,SOCIOLOGIA,3,33,2
8368,1,Filosofia/Sociologia,FILOSOF/SOCIO,1,33,2
8369,1,Met. da Pesquisa Científica,METODOLOGIA,1,33,2
8370,3,Relações Humanas no Trabalho,RHT,2,33,2
8371,1,Relações Humanas no Trabalho,RHT,2,33,2
8372,5,Ética e R. H.,ETICA E RH,2,33,2
8373,4,Filosofia,FILOSOFIA,3,33,2
8374,3,Filosofia,FILOSOFIA,4,50,3
8375,9,Filosofia da Educação,FILOSOFIA,2,50,3
8376,9,Oficina de Prod. Acadêmica,PROD ACADEMICA,4,50,3
8377,9,História da Educação,HIST EDUC,1,50,3
8378,9,Psicologia da Aprendizagem,PSIC APREDIZ,1,50,3
8379,9,Didática I,DIDÁTICA I,2,50,3
8380,9,Didática II,DIDATICAII,3,50,3
8381,1,Empreendedorismo,EMPREED.,4,33,2
8382,8,Gestão da Produção,GEST. PROD,5,67,4
8383,5,Tecnologia da Qualidade,TEC QUALIDAD,4,33,2
8384,2,Relações Humanas no Trabalho,RHT,6,67,4
8385,6,Manutenção Mecânica,MANUT. MECÂN,4,67,4
8386,4,Tec. Mecânica e Soldagem,TEC E SOLDAGEM,2,67,4
8387,6,Mat. de Const. Eletromecânica,MAT CONST ELET,2,33,2
8388,6,Tecnologia Mecânica,TEC. MECÂNIC,3,33,2
8389,8,Materiais,MATERIAIS,2,67,4
8390,4,Materiais Mecânicos,MATERIAIS,1,33,2
8391,4,Eletrônica Digital,ELETR DIGITA,3,33,2
8392,4,Automação,AUTOMAÇÃO,4,67,4
8393,6,Mecânica Vetorial,MECÂN. VETOR,1,33,2
8394,4,Sistemas Térmicos,SIST TÉRMICO,3,33,2
8395,6,Sistemas Térmicos,SIST TÉRMICO,4,50,3
8396,8,Máquinas Térmicas,MÁQ. TÉRMICA,5,83,5
8397,8,Pneumática e Hidráulica,PNEUM HIDRAU,4,100,6
8398,4,Elementos de Máquinas,ELEM. MÁQUIN,2,33,2
8399,6,Elementos de Máquinas,ELEM. MÁQUIN,2,33,2
8400,4,Manutenção Mecânica,MANUT. MECÂN,4,67,4
8401,8,Metrologia,METROLOGIA,1,33,2
8402,8,Aut. de Pro. de Usinagem,AUT USINAGEM,5,83,5
8403,8,Sist. Integrado de Manufatura,SIS MANUFATURA,6,100,6
8404,8,Manutenção Industrial,MANUT. INDUS,6,83,5
8405,4,Metrologia,METROLOGIA,1,17,1
8406,6,Automação,AUTOMAÇÃO,4,67,4
8407,3,HST,HST,3,33,2
8408,1,HST,HST,3,33,2
8409,5,HST,HST,2,33,2
8410,6,HST,HST,1,33,2
8411,8,HST,HST,5,67,4
8412,6,Eletrônica,ELETRÔNIC,2,50,3
8413,6,Manutenção de Máq. Elétricas,MANT MAQ ELET,4,33,2
8414,8,Máquinas Elétricas,MÁQ. ELÉTRIC,3,83,5
8415,8,Lab. de Eletrônica,LAB ELETRÔNICA,3,33,2
8416,6,Instalação de Redes,INST DE REDE,3,33,2
8417,6,Manutenção de Redes,MANT REDES,4,67,4
8418,4,Eletricidade,ELETRICI.,1,50,3
8419,4,Eletrônica,ELETRÔNIC,1,33,2
8420,1,Manutenção de Periféricos,MANT PERIFER,4,33,2
8421,8,Redes Industriais,REDES INDUST,6,67,4
8422,4,Instalações Elétricas,INST ELÉTRIC,3,33,2
8423,8,Lab. de Eletrônica Industrial,LAB ELETR IND,4,33,2
8424,8,Eletrônica,ELETRÔNIC,3,100,6
8425,8,Eletrônica Industrial,ELETR. INDUS,4,67,4
8426,8,Circuitos Elétricos,CIRC ELÉTRIC,2,100,6
8427,8,Lab. Circuitos Elétricos,LAB CIRCUITOS,2,33,2
8428,8,Sistemas Digitais,SIST DIGITAI,3,67,4
8429,8,Lab. de Sistemas Digitais,LAB SIST DIGIT,3,33,2
8430,8,Controladores Industriais,CONTROL. IND,5,100,6
8431,8,Teoria de Controle,TEOR. CONTRO,3,83,5
8433,3,Instalações Elétricas Prediais,INST ELET PRED,4,67,4
